file_id,algorithm,f1,G
camel-1.2_exp_0_train,IBEA,0.560031847133758,0.6352129493433291
camel-1.2_exp_0_train,MonoGP,0.3557142857142856,0.4664016542547031
camel-1.2_exp_0_train,NSGA-II,0.5805555555555557,0.6472724054182223
camel-1.2_exp_0_train,NSGA-III,0.5403374233128835,0.6076702010858088
camel-1.2_exp_0_train,RS,0.3774074074074074,0.4520101325978411
camel-1.2_exp_0_train,SPEA2,0.5399700598802396,0.6001254043851921
camel-1.2_exp_10_train,IBEA,0.4865384615384616,0.5687807672363624
camel-1.2_exp_10_train,MonoGP,0.3902898550724637,0.4989531123319271
camel-1.2_exp_10_train,NSGA-II,0.4508064516129032,0.537299822578361
camel-1.2_exp_10_train,NSGA-III,0.4663793103448277,0.5654136712877763
camel-1.2_exp_10_train,RS,0.2472277227722772,0.3886026297920734
camel-1.2_exp_10_train,SPEA2,0.4907534246575342,0.5860104499046488
camel-1.2_exp_11_train,IBEA,0.5005244755244755,0.5977401598833062
camel-1.2_exp_11_train,MonoGP,0.3670588235294117,0.4803875358652709
camel-1.2_exp_11_train,NSGA-II,0.5353448275862068,0.6264974794057089
camel-1.2_exp_11_train,NSGA-III,0.4436046511627907,0.5589821129975271
camel-1.2_exp_11_train,RS,0.3602439024390245,0.4826814239888738
camel-1.2_exp_11_train,SPEA2,0.5813909774436089,0.6728326115351468
camel-1.2_exp_12_train,IBEA,0.4911654135338346,0.5971707789294698
camel-1.2_exp_12_train,MonoGP,0.3132835820895522,0.4346570001307788
camel-1.2_exp_12_train,NSGA-II,0.3770000000000001,0.5040255210366488
camel-1.2_exp_12_train,NSGA-III,0.425,0.5388245278026124
camel-1.2_exp_12_train,RS,0.3974809160305344,0.5104136712877763
camel-1.2_exp_12_train,SPEA2,0.5111111111111111,0.6061017723967633
camel-1.2_exp_13_train,IBEA,0.5316666666666666,0.6180936724518963
camel-1.2_exp_13_train,MonoGP,0.363939393939394,0.4808981788502895
camel-1.2_exp_13_train,NSGA-II,0.4844594594594594,0.5780524517092305
camel-1.2_exp_13_train,NSGA-III,0.4775547445255474,0.5828642454013898
camel-1.2_exp_13_train,RS,0.3184848484848485,0.4410663649727127
camel-1.2_exp_13_train,SPEA2,0.5024193548387097,0.5849636792095523
camel-1.2_exp_14_train,IBEA,0.4742753623188407,0.579229911955669
camel-1.2_exp_14_train,MonoGP,0.47,0.5108959682791616
camel-1.2_exp_14_train,NSGA-II,0.4982824427480916,0.6041915419293545
